# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0x9691d798	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/FORTIFIED.ORAMAP MATCHES
0xd454d200	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/FORWARD-PROGRESS.ORAMAP MATCHES
0xa85c2a54	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/GREAT-SAHARA-2.ORAMAP MATCHES
0x7bac6ccc	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/GREEN-BELT.ORAMAP MATCHES
0xa935c16b	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/HYPOTHERMIA.ORAMAP MATCHES
0x8825f3a2	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/IMMINENT-DESTRUCTION.ORAMAP MATCHES
0x6b7d1ca0	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/JUNGLE-LAW.ORAMAP MATCHES
0xe14065e2	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/KEEP-OFF-THE-GRASS-2.ORAMAP MATCHES
0xaa60b056	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/MAD-SCIENCE.ORAMAP MATCHES
0xda21768a	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/MAELSTROM.ORAMAP MATCHES
0xe313753c	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/MARIGOLD-TOWN.ORAMAP MATCHES
0x4f1a447a	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/MASS-CONFLICTION.ORAMAP MATCHES
